emp_basic_id,title,date_from,date_to,place_seminar
26,Business Process Out Sourcing,2014-10-04,2014-10-04,University of the Cordilleras
26,IT-enabled Business Process Seminar,2014-11-28,2014-11-28,University of the Cordilleras
70,ADF 2.0 Software testing,,,Accenture Inc.
70,Software Test Automation,,,
70,AGILE Delivery Training,,,
29,CCNA Boot Camp,2014-09-01,2014-10-01,
31,Google DevFest,2015-11-07,2015-11-07,UC
31,Google DevFest,2014-11-22,2014-11-22,UB
31,Google Cloud Dev day,2014-06-14,2014-06-14,UB
31,Google Business Group(GBG) GDaysX,2014-04-27,2014-04-27,Azalea Residences
31,Google Seminars,2012-01-01,2015-01-01,Baguio City
31,School Seminars (SLU) - Tech Press,2010-10-05,2010-10-05,"SLU, Baguio City"
31,Foundations of Leadership Excellence(FLEX),2012-01-28,2012-01-29,Sta. Catalina Spirituality Center
31,Foundations of Leadership Excellence(FLEX),2012-03-10,2012-03-11,Sta. Catalina Spirituality Center
31,Customer and Staff Relations Seminar and Work Ethics Management Seminar,2009-09-20,2009-09-20,Hotel Veniz
32,Information Communicatio Technology Mini Congress,2013-02-27,2013-02-28,"University of Luzon, Perez Blvd., Dagupan City, Pangasinan"
32,Information Communicatio Technology Mini Congress,2012-03-07,2012-03-08,"University of Luzon, Perez Blvd., Dagupan City, Pangasinan"
32,Information Communicatio Technology Mini Congress,2011-02-15,2011-02-16,"University of Luzon, Perez Blvd., Dagupan City, Pangasinan"
32,10th Philippine Youth Congress on Information Technology,2012-09-10,2012-09-12,"University of the Philippines Diliman, Quezon City"
32,"Wacom Workshop/Seminar - American Technologies, Inc.",2012-09-09,2012-09-09,"University of Luzon, Perez Blvd., Dagupan City, Pangasinan"
32,Ethical Hacking and E-Commerce Seminar,2012-02-07,2012-02-07,"Lingayen, Pangasinan"
54,7th Northern Luzon Research ICT Congress,2014-03-10,2014-03-12,Saint Louis University
54,Philippine Society of Information Tech. Educators(CAR Chapter) - 1st Regional ICT Congress,2014-09-13,2014-09-13,"Convention Center, Baguio City"
54,The Cloud - IBM PH and TI Baguio,2015-01-17,2015-01-17,Saint Louis University
54,8th Norther Luzon Research ICT Congress,2015-05-12,2015-05-12,Saint Louis University
54,On the job training 2,2015-06-01,2015-09-01,Raj Technologies Inc.
71,Computer Hardware Servicing NCII,2015-08-01,2015-10-01,"NTUI, Peza, Loakan, Baguio City"
#N/A,GDG Devfest 2014 Virtual Reality,2014-11-22,,University of Baguio
#N/A,GDG Devfest 2014 Game Development,2014-11-22,,University of Baguio
#N/A,Google Cloud Platform,2014-06-14,,University of Baguio
#N/A,Router New and Feature Writing Seminar Workshop,2014-02-08,,University of Baguio
#N/A,Digital Forensics,2014-01-18,,University of Baguio
51,7th Northern Luzon Research Congress on Computing and Information Sciences,2014-03-10,2014-03-12,"Saint Louis University, Baguio City"
51,"1st Regional Faculty-Students IT Congress(theme ""Current Trends in ICT: Bridging Theory and Industry""",2014-09-13,2014-09-13,"Baguio Convention Center, Baguio City"
51,8th Northern Luzon Research Congress on Computing and Information Sciences,2015-05-12,2015-05-12,"Saint Louis University, Baguio City"
52,Applied Business Process Using FRP Packages,2011-04-02,2011-04-02,University of the Cordilleras
52,SAP Functionals,2011-03-26,2011-03-26,University of the Cordilleras
52,Basic Troubleshooting,2011-03-19,2011-03-19,University of the Cordilleras
52,SAP Basis,2011-03-12,2011-03-12,University of the Cordilleras
52,Basic Accounting Essentials,2011-02-19,2011-02-19,University of the Cordilleras
53,SAP Business One,2013-06-01,2013-10-01,University of Baguio
53,NCII Computer Hardware Servicing,2014-12-01,2014-12-05,University of Baguio
53,"Adobe Certified Associate, Visual Communication using Adobe",2014-12-05,2014-12-05,University of Baguio
53,Google I/O Extended Baguio,2015-03-01,2015-03-01,University of Baguio
35,OJT,2013-12-01,2014-04-01,Philippine Military Academy
35,NCII,2014-12-01,,University of Baguio
38,MISYS HPEL Bootcamp,2013-11-18,2014-05-01,"MISYS Office, Makati City"
38,Java Intermediate II,2015-06-01,2015-06-09,"MISYS Office, Makati City"
38,IEEE 7th International Conference,2014-11-12,2014-11-16,"Hotel Centro, Puerto Princesa, Palawan"
46,1st Northern Luzon ICT Research Congress,2007-02-12,2007-02-14,"Saint Louis University, Baguio City"
46,Software Engineering Project Presentation,2014-04-11,2014-04-11,University of the Cordilleras
48,Delivering Excellent Customer Service for RAJ Technologies Inc. Workshop,2014-10-04,2014-10-04,"Palazzo D' Bliss Hotel, Baguio City"
49,Design Patterns in Object Oriented Program,2015-12-17,2015-12-22,TI
49,Core Java Training,2015-12-01,2015-12-11,TI
49,Advance PERL Programming,2015-09-05,2015-09-09,TI
49,Hibernate ORP,2015-11-02,2015-11-03,TI
49,UNIX Environment Training,2015-08-24,2015-08-24,TI
67,CCNA Training,2016-01-28,2016-02-09,G.L.R.L.S - Governor Pack Rd.
24,Visual C++ Module 2,,,Informatics
6,Governance for Development (Youth Leadership Training),2003-09-26,,"Isabela State University, Echague Isabela"
6,Orientation of the Youth Information Center Prog. For National Youth Commission,2004-09-02,,"Isabela State University, Echague Isabela"
6,TI Philippines Inc. Trainings (IC Handler/ IC Tester Operatorship),2008-03-12,2008-03-26,"Texas Instruments Inc., Baguio City"
6,Delivering Excellent Customer Service Workshop,2014-10-04,,"Palazzo D' Bliss Hotel, Baguio City"
64,Self Development,2013-03-15,2013-03-15,STI College Baguio
64,Rotary Youth Leadership Awards,2013-10-25,2013-10-27,"Crown Legacy Hotel, Baguio City"
64,Rotary Youth Leadership Awards,2015-10-23,2015-10-25,"Bakasyunan Resort, Amungan, Iba, Zambales"
64,National Job Placement week 2016,2016-03-07,2016-03-11,STI College Baguio
64,7th ICT Research Congress,2016-03-11,2016-03-11,STI College Baguio
57,Understanding the Basics of Programmable Logic Controllers,2007-01-18,,University of Baguio
57,System Analysis and Design,2008-01-20,,University of Baguio
57,Introduction to PLC Technology Using Siemens Logic Module,2008-08-15,,University of Baguio
57,Creativity and Innovation for Engineers,2008-08-16,,University of Baguio
57,New Hire Training for Tribune,2009-10-09,,"Peza Compound, Loakan Rd., Baguio City"
61,OJT In House,,2015-04-01,"SLU, Engineering Department"
61,OJT Company Based,2015-04-01,2015-06-01,"Postal Bank, Baguio City"
22,Customer Service Training,2015-06-01,2015-06-01,"IT ACE, Texas Instruments Inc., Baguio City"
22,Seminar on BIR - Information System,2014-03-07,2014-03-07,"BIR Road, Q.C."
22,Seminar on IT Roadshow,2013-10-17,2013-10-18,"Convention Center, Baguio City"
22,Philnits Seminar on the IT passport(IP) Cert. Exam,2012-01-30,2012-01-30,University of Baguio
50,Apprenticeship,2015-07-21,2016-01-05,"Texas Instruments, Baguio City"
25,SAP Seminar,,2009-04-01,UC
25,Computer T-Shoot Seminar,,2009-03-01,UC
25,Current Trends in IT Industry,,2009-03-01,UC
25,Computer T-Shoot Training,,2011-09-01,NIIT
25,CCNA Bootcamp Training,,2014-07-01,PCCI
60,8th ICT Research Congress,2015-05-12,,Saint Louis University
60,1st Regional ICT Congress,2014-05-13,,Baguio Convention Center
77,On-The-Job Training,2016-08-02,2016-10-06,PLDT-Baguio City
77,"Texas Instrument (Philippines), Inc. OJT - Session",2015-04-07,,Baguio Gold Tuding Elementary School
77,Start-up Development Tools,2015-03-07,,Baguio Gold Tuding Elementary School
77,SIT Research Colloquium,2015-05-02,,Baguio Gold Tuding Elementary School
78,8th North Luzon Research Congress,2015-05-12,2015-05-12,"Saint Louis University, Baguio City"
78,9th North Luzon Research Congress,2016-04-07,2016-04-07,"Saint Louis University, Baguio City"
79,Threat Experts Summit 2017,2017-04-26,,Saint Louis University
80,Java Bootcamp,,,ACCENTURE Inc.
81,y4it,2016-09-26,2016-09-29,smx convention center manila  mall of asia complex pasay city
85,IBM Domino 8.5 Application Development Fundamentals,2017-05-15,2017-05-18,"Now Important, Makati City"
90,Video Swapped,,2015-12-01,"Innovid Los Angeles, California"
90,SPLC and Software Engineering Practices,,2012-11-01,Univerity of the Cordilleras
90,SAP Project Management,,2012-12-01,University og the Cordilleras
90,Adobe Photoshop CS5,,2012-02-01,National Institute of Info. Tech
91,Synthesis of Digital Circuits and RTL to GDSII Backend Design,2015-05-25,2015-06-05,University of Baguio
91,Introduction to Full Custom Digital IC and Memory Design,2009-07-20,2009-07-31,University of Baguio
91,Basic Troubleshooting,2009-02-21,2009-02-21,University of Baguio
91,On the Job Training,2017-01-23,2017-04-25,MOOG Controls Corp.
92,Computers and Copyright Laws,2017-04-16,2017-04-16,Saint Louis University
92,9th Northern Luzon Research Congress,2016-04-07,2016-04-07,Saint Louis University
92,10th Northern Luzon Research Congress,2017-04-25,2017-04-25,Saint Louis University
92,SE 101: Design and Testing Principles,2016-10-29,2016-10-29,Saint Louis University
92,On-The-Job Training,2016-06-27,2016-07-23,The Manor at Camp John Hay
96,Positive Seminar,2013-08-16,2013-08-16,"Arzadon Gym, Dagupan"
96,On The Job Training,2017-04-21,2014-07-18,DOH - CAR Office
96,Open Hardware Seminar,2014-02-14,2014-02-14,Saint Louis University
96,6th Northern Luzon Research Congress,2013-03-08,2013-03-10,Saint Louis University
96,7th Northern Luzon research Congress,2014-03-10,2014-03-12,Saint Louis University
97,ICT Congress,,,STI Baguio
101,Certifies Scrum Master,2017-04-01,2017-04-01,Manila Peninsula
111,Photgraphy Workshop,2015-02-01,2015-02-01,Baguio City benguet
113,Internship,2017-01-01,2017-04-01,Texas Instrument Philippines Inc
113,On-the-Jobe Training,2012-08-01,2012-10-01,Informatics Baguio
113,Tesda Web Design,2012-01-01,2012-01-01,Informatics Baguio
116,Distanct Learning Program on the rules of Conduct and Ethical Behavior in the Civil Service,2017-05-25,2017-05-25,
116,Values Orientation Workshop,2017-02-18,2017-02-19,PRC Baguio  Regional Office
117,GOG Devfest 2014 Virtual Reality,2014-11-22,2014-11-22,University of Baguio
117,GOG Devfest 2014 Game Development,2014-11-22,2014-11-22,University of baguio
117,Google Cloud Platform,2014-06-14,2014-06-14,University of Baguio
117,Router News and Features Writing Seminar Workshop,2014-02-08,2014-02-08,University of Baguio
117,Digital Florics,2014-01-18,2014-01-18,University of Baguio
118,9th Northern Luzon Research Congress,2016-04-01,2016-04-01,Saint Louis University
118,IamCyberSecUre (Trend Micro),2017-04-26,2017-04-26,Saint Louis University
118,On the Job Training,2016-06-01,2016-07-01,Baguio City
119,SE 101: Design and Testing Principles,2016-10-29,2016-10-29,Saint Louis University
119,9th Northern Luzon Research Congress,2016-04-07,2016-04-07,Saint Louis Unversity
120,SAP Functional and ABAP in the Industry Perspective,2015-11-14,2015-11-14,University of the Cordilleras
120,Google Developer Group Baguio,2015-11-07,2015-11-07,University of the Cordilleras
120,The Seven Dealy IT sins Seminars,2015-08-20,2015-08-20,University of The Cordilleras
121,Mobility Management Development and Security,2013-09-14,2013-09-14,Saint Louis University
121,Global Perspectives on IT and Services Industries,2013-09-14,2013-09-14,Saint Louis University
121,6th Northern Luzon Research Congress on Computing anf Information Sciences,2013-03-08,2013-03-10,Saint Louis University
121,Positive IT Apps Congress,2013-08-16,2013-08-16,Arzadon gym Dagupan City
121,Android Certifiec Appplication Developer,2016-08-22,2016-08-22,Online
124,Threat Experts Summit 2017: Iam Cyber Secure,2017-04-26,2017-04-26,CCA
124,Expanding your business thru E-commerce,2017-04-28,2017-04-28,Newtown Plaza
124,SE: 101 Design and Testing Principles,2016-10-29,2016-10-29,CCA
124,9th Northern Luzon Research Congress on SCIS,2016-04-07,2016-04-07,CCA
124,E-Commercce,2016-04-28,2016-04-28,Newtown Plaza
126,Jenesys,2008-05-13,2008-05-22,Japan
128,,,,
131,SLU Sikap Job Fair 2017,2017-04-21,2017-04-22,Saint Louis University Prince Burnhard Gym
131,Manner And Etiquette in the Workplace,2017-03-15,2017-03-15,Mary Heights Campus SLU
131,Knowing your Profession,2016-04-28,2016-04-28,Mary Heights Campus SLU
131,Job fair 2016,2016-04-21,2016-04-22,Saint Louis University Prince Burnhard Gym
132,computer Systems Servicing,2017-09-11,2017-11-17,Informatics Baguio City
132,ITCS research And Project Presentation,2016-03-28,2016-03-28,"University of the Cordilleras, Baguio City"
132,UREKA E. CADETS Training,2017-05-19,2017-05-19,"University of the Corilleras, Baguio City"
132,Internet of Things,,,"University of the Corilleras, Baguio City"
132,OJT,,,NBI CAR/ UC(MIS) Baguio City
134,Evolution of Salesman,2017-02-11,2017-02-11,Baguio Overview Apartele
134,SAP BASIS,2011-03-12,2011-03-12,University of the Cordilleras
134,SAP funtional,2011-03-26,2011-03-26,University of the Cordilleras
134,BASIC PC trouble shooting,2011-03-19,2011-03-19,University of the Cordilleras
135,Basic Accounting Essentials,2011-02-01,2011-02-01,University of the Cordilleras
135,SAP basis,2011-03-12,2011-03-12,University of the Cordilleras
135,Winning the Game of Life,2011-03-12,2011-03-12,University of the Cordilleras
135,Free lancing,2011-03-26,2011-03-26,University of the Cordilleras
135,Basic PC troubleshooting,2011-03-19,2011-03-19,University of the Cordilleras
138,Mobile Application Development,2013-09-01,2013-12-01,University Of the Philippines
